permno,permco_pre,ticker_pre,issuernm_pre,size_segment_pre,bankruptcy_date,dlstcd,dlret,last_index_qdate_pre_or_at,last_index_id_pre,same_permno_reentered,first_reentry_date_permno,reentry_index_ids_permno,same_permco_reentered,first_reentry_date_permco,reentry_permnos_permco,reentry_index_ids_permco,reentered_index_after_bankruptcy,temporary_any_y1,temporary_y1_before_or_at_bankruptcy_year,temporary_first_y1_year,temporary_y1_years,temporary_any_confirmed_or_terminal_event,temporary_any_terminal_failure_event,temporary_terminal_failure_codes,permanent_any_y1,permanent_first_y1_year,permanent_y1_years,csi_classification_summary
83816,31701,ALI,ALTERNATIVE LIVING SERVICES INC,micro,2003-01-22,574,-0.999091,2002-12-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,1999,1999;2000;2001,TRUE,TRUE,574,TRUE,1999,1999;2001,classified_as_csi_in_available_labels_or_events
88175,37169,LUMM,LUMENON INNOVATIVE LTWVE TECH IN,micro,2003-02-19,574,-0.830508,2002-12-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000;2001,TRUE,TRUE,574,TRUE,2000,2000;2001,classified_as_csi_in_available_labels_or_events
77440,11427,STMI,SATELLITE TECHNOLOGY MGMNT INC,micro,2003-02-28,574,-0.5,2002-12-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000;2001,TRUE,TRUE,574,TRUE,2000,2000;2001,classified_as_csi_in_available_labels_or_events
84434,15295,PECX,PHOTOELECTRON CORP,micro,2003-03-06,574,-0.887892,2002-12-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2001,2001;2002,TRUE,TRUE,574,FALSE,,"",classified_as_csi_in_available_labels_or_events
83487,14600,BTRN,BIOTRANSPLANT INC,micro,2003-03-10,574,-0.243697,2002-12-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2001,2001,TRUE,TRUE,574,TRUE,2001,2001,classified_as_csi_in_available_labels_or_events
88472,37962,DVIN,DIVINE INTERVENTURES INC,micro,2003-03-11,574,-0.2,2002-12-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000;2002,TRUE,TRUE,574,TRUE,2000,2000,classified_as_csi_in_available_labels_or_events
80703,28332,CFWC,C F W COMMUNICATIONS CO,micro,2003-03-12,574,-0.75,2002-12-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000;2001,TRUE,TRUE,574,TRUE,2001,2001,classified_as_csi_in_available_labels_or_events
88479,38382,ANX,ANTEX BIOLOGICS INC,micro,2003-03-27,574,-0.5,2002-12-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000;2001,TRUE,TRUE,574,TRUE,2001,2001,classified_as_csi_in_available_labels_or_events
88522,38422,EVLV,EVOLVE SOFTWARE INC,micro,2003-03-28,574,-0.992308,2002-12-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000;2001,TRUE,TRUE,574,TRUE,2000,2000;2001,classified_as_csi_in_available_labels_or_events
47271,20736,FLM,FLEMING INC,micro,2003-04-01,574,-0.48,2003-03-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2001,2001,TRUE,TRUE,574,TRUE,2001,2001,classified_as_csi_in_available_labels_or_events
