ticket_id,run_id,feature_set,track,feature_name,feature_family,result_status,n_rows_used,baseline_mean_probability,perturbed_mean_probability,mean_abs_delta_log_odds,mean_signed_delta_log_odds,median_abs_delta_log_odds,p90_abs_delta_log_odds,probability_clip_eps,perturbation_policy,permutation_strata,perturbation_seed,predictor_path,best_model,bounded_predictor_note,pit_ratio_source,rank_within_model_track
AE-FEAT-IMPORT-005R,pit_ratio_log_odds_rebuild_20260602_gbm,raw,permanent_csi,ev_to_sales,point_in_time_ratios,computed,143173,0.03684166266980283,0.03670000383125044,0.002934809728965797,0.0006180009803436207,0.0,0.0041703407532448725,1e-06,deterministic_individual_feature_permutation_within_cv_block,initial_train_1993_2001;cv_fold2_2002_2006;cv_fold3_2007_2010;cv_fold4_holdout_2011_2015,20260602,03_Data_Output\10_FeatureImportance\predictor_workspace\rebuild_20260602_gbm\3_Modelling_Results\Necessary\permanent_csi\AutoGluon\ag_raw\ag_predictor,WeightedEnsemble_L2,bounded GBM-only predictor workspace; not full final model-suite importance,AE-FEAT-IMPORT-001R base ratio subset plus 06B/004R evidence for cash_div_cf; macro point-in-time controls excluded,33
AE-FEAT-IMPORT-005R,pit_ratio_log_odds_rebuild_20260602_gbm,raw,permanent_csi,dd1_ratio,point_in_time_ratios,computed,143173,0.03684166266980283,0.03682584114092162,0.0021213949265301364,-0.00019563744876239188,0.0,0.003136101831076133,1e-06,deterministic_individual_feature_permutation_within_cv_block,initial_train_1993_2001;cv_fold2_2002_2006;cv_fold3_2007_2010;cv_fold4_holdout_2011_2015,20260602,03_Data_Output\10_FeatureImportance\predictor_workspace\rebuild_20260602_gbm\3_Modelling_Results\Necessary\permanent_csi\AutoGluon\ag_raw\ag_predictor,WeightedEnsemble_L2,bounded GBM-only predictor workspace; not full final model-suite importance,AE-FEAT-IMPORT-001R base ratio subset plus 06B/004R evidence for cash_div_cf; macro point-in-time controls excluded,34
AE-FEAT-IMPORT-005R,pit_ratio_log_odds_rebuild_20260602_gbm,raw,permanent_csi,assets_per_emp,point_in_time_ratios,computed,143173,0.03684166266980283,0.03683823112430885,0.0020945262289221497,-0.0001753104446908579,0.0,0.005265965791500983,1e-06,deterministic_individual_feature_permutation_within_cv_block,initial_train_1993_2001;cv_fold2_2002_2006;cv_fold3_2007_2010;cv_fold4_holdout_2011_2015,20260602,03_Data_Output\10_FeatureImportance\predictor_workspace\rebuild_20260602_gbm\3_Modelling_Results\Necessary\permanent_csi\AutoGluon\ag_raw\ag_predictor,WeightedEnsemble_L2,bounded GBM-only predictor workspace; not full final model-suite importance,AE-FEAT-IMPORT-001R base ratio subset plus 06B/004R evidence for cash_div_cf; macro point-in-time controls excluded,35
AE-FEAT-IMPORT-005R,pit_ratio_log_odds_rebuild_20260602_gbm,raw,permanent_csi,eff_int_rate,point_in_time_ratios,computed,143173,0.03684166266980283,0.03679172963077175,0.0018264533056046685,0.00019236524724892596,0.0,0.0,1e-06,deterministic_individual_feature_permutation_within_cv_block,initial_train_1993_2001;cv_fold2_2002_2006;cv_fold3_2007_2010;cv_fold4_holdout_2011_2015,20260602,03_Data_Output\10_FeatureImportance\predictor_workspace\rebuild_20260602_gbm\3_Modelling_Results\Necessary\permanent_csi\AutoGluon\ag_raw\ag_predictor,WeightedEnsemble_L2,bounded GBM-only predictor workspace; not full final model-suite importance,AE-FEAT-IMPORT-001R base ratio subset plus 06B/004R evidence for cash_div_cf; macro point-in-time controls excluded,36
AE-FEAT-IMPORT-005R,pit_ratio_log_odds_rebuild_20260602_gbm,raw,permanent_csi,cash_div_cf,point_in_time_ratios,computed,143173,0.03684166266980283,0.03688080785425951,0.0017320194787516286,-0.0006003695115499121,0.0,0.0,1e-06,deterministic_individual_feature_permutation_within_cv_block,initial_train_1993_2001;cv_fold2_2002_2006;cv_fold3_2007_2010;cv_fold4_holdout_2011_2015,20260602,03_Data_Output\10_FeatureImportance\predictor_workspace\rebuild_20260602_gbm\3_Modelling_Results\Necessary\permanent_csi\AutoGluon\ag_raw\ag_predictor,WeightedEnsemble_L2,bounded GBM-only predictor workspace; not full final model-suite importance,AE-FEAT-IMPORT-001R base ratio subset plus 06B/004R evidence for cash_div_cf; macro point-in-time controls excluded,37
AE-FEAT-IMPORT-005R,pit_ratio_log_odds_rebuild_20260602_gbm,raw,permanent_csi,gross_margin,point_in_time_ratios,computed,143173,0.03684166266980283,0.03685757062068568,0.001725262513384096,-0.0006097843027755356,0.0,0.0029606324070887706,1e-06,deterministic_individual_feature_permutation_within_cv_block,initial_train_1993_2001;cv_fold2_2002_2006;cv_fold3_2007_2010;cv_fold4_holdout_2011_2015,20260602,03_Data_Output\10_FeatureImportance\predictor_workspace\rebuild_20260602_gbm\3_Modelling_Results\Necessary\permanent_csi\AutoGluon\ag_raw\ag_predictor,WeightedEnsemble_L2,bounded GBM-only predictor workspace; not full final model-suite importance,AE-FEAT-IMPORT-001R base ratio subset plus 06B/004R evidence for cash_div_cf; macro point-in-time controls excluded,38
AE-FEAT-IMPORT-005R,pit_ratio_log_odds_rebuild_20260602_gbm,raw,permanent_csi,rental_ratio,point_in_time_ratios,computed,143173,0.03684166266980283,0.03683306608630824,0.001351664965466526,-0.00019948945104907327,0.0,0.0013625532865262399,1e-06,deterministic_individual_feature_permutation_within_cv_block,initial_train_1993_2001;cv_fold2_2002_2006;cv_fold3_2007_2010;cv_fold4_holdout_2011_2015,20260602,03_Data_Output\10_FeatureImportance\predictor_workspace\rebuild_20260602_gbm\3_Modelling_Results\Necessary\permanent_csi\AutoGluon\ag_raw\ag_predictor,WeightedEnsemble_L2,bounded GBM-only predictor workspace; not full final model-suite importance,AE-FEAT-IMPORT-001R base ratio subset plus 06B/004R evidence for cash_div_cf; macro point-in-time controls excluded,39
AE-FEAT-IMPORT-005R,pit_ratio_log_odds_rebuild_20260602_gbm,raw,permanent_csi,min_int_tcap,point_in_time_ratios,computed,143173,0.03684166266980283,0.03683985618648555,0.00015932814549000327,3.2294094315098854e-06,0.0,0.0,1e-06,deterministic_individual_feature_permutation_within_cv_block,initial_train_1993_2001;cv_fold2_2002_2006;cv_fold3_2007_2010;cv_fold4_holdout_2011_2015,20260602,03_Data_Output\10_FeatureImportance\predictor_workspace\rebuild_20260602_gbm\3_Modelling_Results\Necessary\permanent_csi\AutoGluon\ag_raw\ag_predictor,WeightedEnsemble_L2,bounded GBM-only predictor workspace; not full final model-suite importance,AE-FEAT-IMPORT-001R base ratio subset plus 06B/004R evidence for cash_div_cf; macro point-in-time controls excluded,40
AE-FEAT-IMPORT-005R,pit_ratio_log_odds_rebuild_20260602_gbm,raw,permanent_csi,div_yield,point_in_time_ratios,computed,143173,0.03684166266980283,0.03684288077860085,0.00013421681338876342,-4.6410068210284376e-05,0.0,0.0,1e-06,deterministic_individual_feature_permutation_within_cv_block,initial_train_1993_2001;cv_fold2_2002_2006;cv_fold3_2007_2010;cv_fold4_holdout_2011_2015,20260602,03_Data_Output\10_FeatureImportance\predictor_workspace\rebuild_20260602_gbm\3_Modelling_Results\Necessary\permanent_csi\AutoGluon\ag_raw\ag_predictor,WeightedEnsemble_L2,bounded GBM-only predictor workspace; not full final model-suite importance,AE-FEAT-IMPORT-001R base ratio subset plus 06B/004R evidence for cash_div_cf; macro point-in-time controls excluded,41
AE-FEAT-IMPORT-005R,pit_ratio_log_odds_rebuild_20260602_gbm,raw_plus_latent,permanent_csi,earn_yld,point_in_time_ratios,computed,143173,0.0374069990920129,0.0348998083976259,0.14950317140616878,-0.03323593302132517,0.04244385441128995,0.4574693484553016,1e-06,deterministic_individual_feature_permutation_within_cv_block,initial_train_1993_2001;cv_fold2_2002_2006;cv_fold3_2007_2010;cv_fold4_holdout_2011_2015,20260602,03_Data_Output\10_FeatureImportance\predictor_workspace\rebuild_20260602_gbm\3_Modelling_Results\Necessary\permanent_csi\AutoGluon\ag_raw_plus_latent\ag_predictor,WeightedEnsemble_L2,bounded GBM-only predictor workspace; not full final model-suite importance,AE-FEAT-IMPORT-001R base ratio subset plus 06B/004R evidence for cash_div_cf; macro point-in-time controls excluded,1
