track,feature_set,threshold_method,cohort,fold_id,permno,year,y,p_csi,threshold,threshold_boundary_tolerance
dynamic_csi,raw_plus_latent,fpr3,FP,2,43757,2005,0,0.246809720993042,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,44813,2002,0,0.2514294385910034,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,44813,2003,0,0.25291135907173157,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,45955,2002,0,0.2577788829803467,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,45955,2003,0,0.2686654329299927,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,45955,2004,0,0.27151042222976685,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,46181,2002,0,0.21403071284294128,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,46181,2005,0,0.2773275673389435,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,46181,2006,0,0.2356117218732834,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,46340,2004,0,0.2140301764011383,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,47423,2004,0,0.24651607871055603,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,57104,2006,1,0.3138638436794281,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,57913,2005,0,0.25345945358276367,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,58406,2002,1,0.27962982654571533,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,58800,2006,0,0.23630397021770477,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,60354,2003,0,0.27292340993881226,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,60709,2006,0,0.22129932045936584,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,62907,2003,0,0.2363206148147583,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,66369,2004,0,0.2882091999053955,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,66472,2003,0,0.24647413194179535,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,67029,2002,0,0.21332219243049622,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,67345,2002,0,0.21952244639396667,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,67345,2003,0,0.2545165717601776,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,68145,2005,0,0.3069387674331665,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,69526,2002,1,0.25893598794937134,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,69681,2002,0,0.24050603806972504,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,70156,2002,0,0.27581164240837097,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,70156,2003,1,0.3077109456062317,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,70156,2004,0,0.2952539920806885,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,72119,2003,0,0.229149729013443,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,75035,2003,1,0.21144938468933105,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,75172,2003,0,0.21752946078777313,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,75244,2002,1,0.2629317343235016,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,75244,2003,0,0.23013529181480408,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,75244,2004,0,0.33665016293525696,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,75328,2002,0,0.2378285527229309,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,75433,2004,0,0.22609131038188934,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,75433,2005,0,0.25163745880126953,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,75549,2005,1,0.2522358298301697,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,75625,2004,0,0.2586043179035187,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,75659,2002,0,0.21335574984550476,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,75696,2003,1,0.21794934570789337,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,75696,2004,0,0.28230223059654236,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,75696,2005,1,0.2184600532054901,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,75834,2002,0,0.23121866583824158,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,75853,2002,0,0.21778444945812225,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,75853,2003,1,0.21829593181610107,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,75853,2004,0,0.2740890383720398,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,75853,2005,0,0.2838696837425232,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,75853,2006,0,0.24282783269882202,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,75962,2003,0,0.2601058781147003,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,75962,2006,0,0.24642051756381989,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,75993,2005,0,0.22703449428081512,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,76166,2002,1,0.22051328420639038,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,76166,2003,0,0.3115993142127991,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,76166,2004,1,0.2924323081970215,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,76217,2004,0,0.24178877472877502,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,76217,2005,0,0.240030437707901,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,76279,2004,0,0.23396678268909454,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,76310,2004,0,0.2231094241142273,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,76314,2004,0,0.2457827627658844,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,TP,2,76355,2005,1,0.2544748783111572,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,76374,2005,0,0.21938030421733856,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,76383,2003,0,0.260032057762146,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,76383,2006,0,0.3163174092769623,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,76448,2004,0,0.24893301725387573,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,76515,2002,0,0.2304265797138214,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,76515,2003,0,0.23387891054153442,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,76691,2004,0,0.22055663168430328,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,76699,2004,0,0.32628482580184937,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,76699,2005,0,0.25281140208244324,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,76699,2006,0,0.22665545344352722,0.211419641971588,1e-12
dynamic_csi,raw_plus_latent,fpr3,FP,2,76720,2004,0,0.25007423758506775,0.211419641971588,1e-12
