track,track_label,feature_set,threshold_method,threshold_label,profile_field,feature_family,is_model_input_feature,contrast_status,n_fp,n_tp,nonmissing_fp,nonmissing_tp,mean_fp,mean_tp,median_fp,median_tp,sd_fp,sd_tp,smd_fp_minus_tp,missing_rate_fp,missing_rate_tp,missing_rate_diff_fp_minus_tp,mean_rank_pct_fp,mean_rank_pct_tp,mean_rank_pct_diff_fp_minus_tp,source_rows_cv_only,note,abs_smd
permanent_csi,Permanent CSI,raw,fpr1,CV FPR <= 1%,p_csi,cohort_score_metadata,False,computed_from_cv_cohort_metadata,697,270,697,270,0.27247108230460837,0.2761994785732693,0.26577097177505493,0.2709948271512985,0.027259876976143356,0.027745598324824518,-0.13609202537717632,0.0,0.0,0.0,0.48789834999755194,0.5330920372285418,-0.045193687230989876,True,CV out-of-fold model score; not an input feature,0.13609202537717632
permanent_csi,Permanent CSI,raw,fpr1,CV FPR <= 1%,year,cohort_key_metadata,False,computed_from_cv_cohort_metadata,697,270,697,270,2007.6814921090388,2008.2259259259258,2007.0,2007.0,4.25334406102378,4.186728242600929,-0.12855944943115144,0.0,0.0,0.0,0.48870176365246837,0.5310180397564059,-0.04231627610393757,True,CV cohort key year; not an input feature,0.12855944943115144
permanent_csi,Permanent CSI,raw,fpr1,CV FPR <= 1%,fold_id,cohort_key_metadata,False,computed_from_cv_cohort_metadata,697,270,697,270,2.8923959827833574,2.9814814814814814,3.0,3.0,0.8880833833857651,0.8812533475006314,-0.1005270039383102,0.0,0.0,0.0,0.4928612653727973,0.5202803630931863,-0.027419097720388974,True,CV fold identifier; not an input feature,0.1005270039383102
permanent_csi,Permanent CSI,raw,fpr3,CV FPR <= 3%,p_csi,cohort_score_metadata,False,computed_from_cv_cohort_metadata,2092,641,2092,641,0.23141552158853976,0.23887153897382168,0.22255892306566238,0.23149695992469788,0.03520718158722152,0.03841559474393643,-0.20719945402744044,0.0,0.0,0.0,0.48707252691591124,0.5429707857908169,-0.05589825887490568,True,CV out-of-fold model score; not an input feature,0.20719945402744044
permanent_csi,Permanent CSI,raw,fpr3,CV FPR <= 3%,year,cohort_key_metadata,False,computed_from_cv_cohort_metadata,2092,641,2092,641,2007.2370936902485,2007.7503900156007,2006.0,2007.0,4.427232016011223,4.209004930372517,-0.11726945629905418,0.0,0.0,0.0,0.48880599625426496,0.5373133476381865,-0.04850735138392154,True,CV cohort key year; not an input feature,0.11726945629905418
permanent_csi,Permanent CSI,raw,fpr3,CV FPR <= 3%,fold_id,cohort_key_metadata,False,computed_from_cv_cohort_metadata,2092,641,2092,641,2.8049713193116634,2.8658346333853353,2.0,3.0,0.8991276654168273,0.8754122051131994,-0.06810822441261101,0.0,0.0,0.0,0.4953452911409942,0.5159713743105159,-0.020626083169521692,True,CV fold identifier; not an input feature,0.06810822441261101
permanent_csi,Permanent CSI,raw,fpr5,CV FPR <= 5%,p_csi,cohort_score_metadata,False,computed_from_cv_cohort_metadata,3482,909,3482,909,0.20744275540490043,0.21914635501941307,0.19778738170862198,0.21121157705783844,0.040541411136555294,0.04467282410468576,-0.28249138437311705,0.0,0.0,0.0,0.4839261839298204,0.5621221425262545,-0.07819595859643408,True,CV out-of-fold model score; not an input feature,0.28249138437311705
permanent_csi,Permanent CSI,raw,fpr5,CV FPR <= 5%,year,cohort_key_metadata,False,computed_from_cv_cohort_metadata,3482,909,3482,909,2007.1367030442275,2007.6952695269526,2006.0,2007.0,4.4659305711578945,4.184430663403886,-0.12668295729720733,0.0,0.0,0.0,0.48954377858423015,0.5406034796146434,-0.05105970103041324,True,CV cohort key year; not an input feature,0.12668295729720733
permanent_csi,Permanent CSI,raw,fpr5,CV FPR <= 5%,fold_id,cohort_key_metadata,False,computed_from_cv_cohort_metadata,3482,909,3482,909,2.790063182079265,2.8514851485148514,2.0,3.0,0.8916504691096568,0.8710660433151066,-0.06921322136093756,0.0,0.0,0.0,0.4957828797376912,0.5167040844371388,-0.020921204699447582,True,CV fold identifier; not an input feature,0.06921322136093756
permanent_csi,Permanent CSI,raw,youden,CV Youden J,p_csi,cohort_score_metadata,False,computed_from_cv_cohort_metadata,17473,2127,17473,2127,0.10657435964226061,0.14827564845258326,0.08845474570989609,0.13909834623336792,0.06097240253035616,0.07245730463304749,-0.6691400250875281,0.0,0.0,0.0,0.48093822743428055,0.6568248011475393,-0.17588657371325872,True,CV out-of-fold model score; not an input feature,0.6691400250875281
permanent_csi,Permanent CSI,raw,youden,CV Youden J,year,cohort_key_metadata,False,computed_from_cv_cohort_metadata,17473,2127,17473,2127,2007.5414067418303,2008.1640808650682,2007.0,2007.0,4.135554348025142,3.869929892705415,-0.15159184736332643,0.0,0.0,0.0,0.4949144481806916,0.5420121518282912,-0.04709770364759963,True,CV cohort key year; not an input feature,0.15159184736332643
permanent_csi,Permanent CSI,raw,youden,CV Youden J,fold_id,cohort_key_metadata,False,computed_from_cv_cohort_metadata,17473,2127,17473,2127,2.8306530074972813,2.917254348848143,3.0,3.0,0.8373951689756968,0.8239811021649488,-0.10359626593513646,0.0,0.0,0.0,0.4968373581046909,0.5262157225372519,-0.029378364432561033,True,CV fold identifier; not an input feature,0.10359626593513646
permanent_csi,Permanent CSI,raw_plus_latent,fpr1,CV FPR <= 1%,year,cohort_key_metadata,False,computed_from_cv_cohort_metadata,696,294,696,294,2006.3290229885058,2006.7074829931973,2006.0,2007.0,3.3960734278764235,3.3237399970468755,-0.11214347371793164,0.0,0.0,0.0,0.488662486938349,0.5285405071119357,-0.03987802017358666,True,CV cohort key year; not an input feature,0.11214347371793164
permanent_csi,Permanent CSI,raw_plus_latent,fpr1,CV FPR <= 1%,p_csi,cohort_score_metadata,False,computed_from_cv_cohort_metadata,696,294,696,294,0.27240907182467394,0.2767045920093854,0.2581714391708374,0.26456423103809357,0.04070887495897555,0.04262836825017007,-0.10403942645501531,0.0,0.0,0.0,0.4897654707999536,0.5259293616436475,-0.03616389084369387,True,CV out-of-fold model score; not an input feature,0.10403942645501531
permanent_csi,Permanent CSI,raw_plus_latent,fpr1,CV FPR <= 1%,fold_id,cohort_key_metadata,False,computed_from_cv_cohort_metadata,696,294,696,294,2.6494252873563218,2.704081632653061,2.0,3.0,0.7514587924245397,0.7418616515475887,-0.07300892713022289,0.0,0.0,0.0,0.4938559445024964,0.5162457912457913,-0.02238984674329486,True,CV fold identifier; not an input feature,0.07300892713022289
permanent_csi,Permanent CSI,raw_plus_latent,fpr3,CV FPR <= 3%,p_csi,cohort_score_metadata,False,computed_from_cv_cohort_metadata,2092,634,2092,634,0.22582109702704742,0.2378376531958204,0.21397730708122253,0.2275594025850296,0.04208209952344826,0.047563002491229314,-0.27676758076852687,0.0,0.0,0.0,0.48087848899276,0.5638835978346152,-0.08300510884185519,True,CV out-of-fold model score; not an input feature,0.27676758076852687
permanent_csi,Permanent CSI,raw_plus_latent,fpr3,CV FPR <= 3%,year,cohort_key_metadata,False,computed_from_cv_cohort_metadata,2092,634,2092,634,2006.5779158699809,2007.3296529968454,2005.0,2007.0,4.12642739173028,4.000415168750435,-0.18346281285263533,0.0,0.0,0.0,0.484262796188253,0.5527164516942819,-0.06845365550602883,True,CV cohort key year; not an input feature,0.18346281285263533
permanent_csi,Permanent CSI,raw_plus_latent,fpr3,CV FPR <= 3%,fold_id,cohort_key_metadata,False,computed_from_cv_cohort_metadata,2092,634,2092,634,2.6845124282982793,2.7917981072555205,2.0,3.0,0.8452127554348194,0.8379970762331113,-0.1271848276890075,0.0,0.0,0.0,0.4915150333380561,0.5287863568719029,-0.03727132353384682,True,CV fold identifier; not an input feature,0.1271848276890075
permanent_csi,Permanent CSI,raw_plus_latent,fpr5,CV FPR <= 5%,p_csi,cohort_score_metadata,False,computed_from_cv_cohort_metadata,3478,905,3478,905,0.20186282639070927,0.21639669903075498,0.1900705248117447,0.20555564761161804,0.044266350227677755,0.05180880638711997,-0.316474916955284,0.0,0.0,0.0,0.48222706082376665,0.56885556072369,-0.08662849989992338,True,CV out-of-fold model score; not an input feature,0.316474916955284
permanent_csi,Permanent CSI,raw_plus_latent,fpr5,CV FPR <= 5%,year,cohort_key_metadata,False,computed_from_cv_cohort_metadata,3478,905,3478,905,2006.7725704427833,2007.3845303867404,2006.0,2007.0,4.291811307231138,4.036638538664324,-0.14431604773664944,0.0,0.0,0.0,0.48798428162970076,0.5467300204330392,-0.05874573880333844,True,CV cohort key year; not an input feature,0.14431604773664944
permanent_csi,Permanent CSI,raw_plus_latent,fpr5,CV FPR <= 5%,fold_id,cohort_key_metadata,False,computed_from_cv_cohort_metadata,3478,905,3478,905,2.714203565267395,2.785635359116022,2.0,3.0,0.8620591129720796,0.8469187121223856,-0.08316110070513996,0.0,0.0,0.0,0.4948627250169477,0.5202955164542061,-0.025432791437258406,True,CV fold identifier; not an input feature,0.08316110070513996
permanent_csi,Permanent CSI,raw_plus_latent,youden,CV Youden J,p_csi,cohort_score_metadata,False,computed_from_cv_cohort_metadata,18639,2163,18639,2163,0.100655323644049,0.14415774306853338,0.08217950910329819,0.13352051377296448,0.05946877151356071,0.07422927104582942,-0.7111828363897861,0.0,0.0,0.0,0.480868511288459,0.6650909931088368,-0.18422248182037781,True,CV out-of-fold model score; not an input feature,0.7111828363897861
permanent_csi,Permanent CSI,raw_plus_latent,youden,CV Youden J,year,cohort_key_metadata,False,computed_from_cv_cohort_metadata,18639,2163,18639,2163,2007.6086163420784,2008.1886269070735,2007.0,2007.0,4.200801768496172,3.8800850805301472,-0.13913747582818933,0.0,0.0,0.0,0.4953565172481346,0.5402449722663051,-0.04488845501817046,True,CV cohort key year; not an input feature,0.13913747582818933
permanent_csi,Permanent CSI,raw_plus_latent,youden,CV Youden J,fold_id,cohort_key_metadata,False,computed_from_cv_cohort_metadata,18639,2163,18639,2163,2.8430173292558614,2.9223300970873787,3.0,3.0,0.8509057527950097,0.8248430614361676,-0.0935034024160597,0.0,0.0,0.0,0.49718876594873174,0.5244561218130321,-0.027267355864300402,True,CV fold identifier; not an input feature,0.0935034024160597
