track,track_label,feature_set,model_key,threshold_method,threshold_label,threshold,threshold_boundary_tolerance,split_source,cohort,n,score_min,score_p01,score_p05,score_p25,score_median,score_mean,score_p75,score_p95,score_p99,score_max
dynamic_csi,Temporary CSI,raw_plus_latent,raw_plus_latent,fpr5,CV FPR <= 5%,0.178807958960533,1e-12,cv,FN,2002,0.0011543709551915526,0.0033458633208647373,0.01200149329379201,0.049684593454003334,0.09061127156019211,0.09086174703500635,0.13267648592591286,0.16984926983714102,0.17676879405975343,0.1787036657333374
dynamic_csi,Temporary CSI,raw_plus_latent,raw_plus_latent,fpr5,CV FPR <= 5%,0.178807958960533,1e-12,cv,TN,65651,0.00021198678587097675,0.00035394896985962987,0.0009253433090634644,0.003797536948695779,0.00984337367117405,0.02932873344301515,0.03702744282782078,0.1291888877749443,0.16637233644723892,0.17879097163677216
dynamic_csi,Temporary CSI,raw_plus_latent,raw_plus_latent,youden,CV Youden J,0.0415444411337376,1e-12,cv,FP,18568,0.04154571518301964,0.04229814749211073,0.0452834090217948,0.0651952363550663,0.10137209668755531,0.11945095124346707,0.15768537297844887,0.2526251450181007,0.3169991868734359,0.48241689801216125
dynamic_csi,Temporary CSI,raw_plus_latent,raw_plus_latent,youden,CV Youden J,0.0415444411337376,1e-12,cv,TP,2717,0.041544441133737564,0.043604095876216886,0.052822229266166684,0.09685007482767105,0.15812940895557404,0.16377542599799838,0.21981973946094513,0.30430369377136224,0.36380477309227,0.46470335125923157
dynamic_csi,Temporary CSI,raw_plus_latent,raw_plus_latent,youden,CV Youden J,0.0415444411337376,1e-12,cv,FN,402,0.0011543709551915526,0.0017026999266818166,0.0033483048202469943,0.012003520969301462,0.02156919054687023,0.02136402033745492,0.031092355027794838,0.039580235816538335,0.040844912342727184,0.0413716658949852
dynamic_csi,Temporary CSI,raw_plus_latent,raw_plus_latent,youden,CV Youden J,0.0415444411337376,1e-12,cv,TN,50536,0.00021198678587097675,0.0003259379460359924,0.0007955258770380169,0.003000900149345398,0.0058152147103101015,0.010100729877856249,0.014347451739013195,0.03324587270617485,0.03966805525124074,0.04154367744922638
dynamic_csi,Temporary CSI,raw,raw,fpr3,CV FPR <= 3%,0.217117547988892,1e-12,cv,FP,2073,0.21715593338012695,0.21753398478031158,0.2194528102874756,0.23146751523017883,0.25019413232803345,0.2582615432506935,0.2762752175331116,0.3263270914554596,0.3693160390853888,0.4529777467250824
dynamic_csi,Temporary CSI,raw,raw,fpr3,CV FPR <= 3%,0.217117547988892,1e-12,cv,TP,731,0.2171175479888916,0.2177853912115097,0.22027210146188736,0.23448732495307922,0.2534502148628235,0.26493574422051575,0.2877357006072998,0.34116293489933014,0.38354862630367326,0.41361868381500244
dynamic_csi,Temporary CSI,raw,raw,fpr3,CV FPR <= 3%,0.217117547988892,1e-12,cv,FN,2388,0.0007608201121911407,0.003313854818698019,0.015395153081044555,0.06331265904009342,0.11138081178069115,0.1120642693226781,0.1639663241803646,0.20452689677476885,0.21489345759153367,0.21691268682479858
dynamic_csi,Temporary CSI,raw,raw,fpr3,CV FPR <= 3%,0.217117547988892,1e-12,cv,TN,67031,7.678569090785459e-05,0.00010640551263350063,0.0004074039898114279,0.002832367434166372,0.012035591527819633,0.035577244071215014,0.04778449237346649,0.15401849895715714,0.20164493769407268,0.21710531413555145
dynamic_csi,Temporary CSI,raw,raw,fpr1,CV FPR <= 1%,0.265872091054916,1e-12,cv,FP,690,0.26587995886802673,0.2660028889775276,0.26719426810741426,0.2766430079936981,0.2904694825410843,0.29809656488722647,0.3104257136583328,0.3585316389799118,0.3949284130334854,0.4529777467250824
dynamic_csi,Temporary CSI,raw,raw,fpr1,CV FPR <= 1%,0.265872091054916,1e-12,cv,TP,286,0.2658720910549164,0.26594538390636446,0.2680489793419838,0.2792479023337364,0.30004383623600006,0.3051694866035368,0.3215723782777786,0.3671993985772133,0.40966823548078535,0.41361868381500244
dynamic_csi,Temporary CSI,raw,raw,fpr1,CV FPR <= 1%,0.265872091054916,1e-12,cv,FN,2833,0.0007608201121911407,0.0035937398578971625,0.017401647195219992,0.07354766130447388,0.12988607585430145,0.13201518919842598,0.1917586326599121,0.24700731337070467,0.2607527494430542,0.2658032476902008
dynamic_csi,Temporary CSI,raw,raw,fpr1,CV FPR <= 1%,0.265872091054916,1e-12,cv,TN,68414,7.678569090785459e-05,0.00010712990144384093,0.00041518824291415514,0.002914497279562056,0.01268299575895071,0.03967708066659039,0.05238809436559677,0.17525182366371148,0.23695594966411515,0.2658199965953827
dynamic_csi,Temporary CSI,raw,raw,fpr5,CV FPR <= 5%,0.186501175165176,1e-12,cv,FP,3446,0.18652687966823578,0.1872493125498295,0.19013607501983643,0.20525481551885605,0.22632905095815659,0.23560991007629273,0.25787998735904694,0.3104257136583328,0.35853163897991186,0.4529777467250824
